,invernaderoVirtualId,semana,semanaN,budget,pronosticoOneWeek,pronosticoThreeWeek,pronosticoFiveWeek,kgSemanal,kgDiario,kgReal,packout,calif_packout,calif_5Wvsreal,calif_3Wvsreal,calif_1Wvsreal,calif_SemanalvsReal,calif_DiariovsReal,calificacionFinal
0,1,2023-04-10 06:00:00,15-2023,0.7,0.25,0.25,,0.20513648845097723,0.19964464545307706,0.2261116367076632,0.8781508317175221,1.16,,1.02,2.37,1.36,1.32,7.470000000000001
1,1,2023-04-17 06:00:00,16-2023,0.84,0.75,0.75,0.45,0.657319642700125,0.5854253067797989,0.6140480420887463,-0.1763180639585134,0.0,0.48,0.92,2.15,1.39,1.43,6.4399999999999995
2,1,2023-04-24 06:00:00,17-2023,0.9,0.85,0.95,0.85,0.6199975131747668,0.8564107063297915,0.9072155433001823,-0.099526910163801,0.0,0.7,1.07,2.45,1.03,1.42,6.71
3,1,2023-05-01 06:00:00,18-2023,0.92,0.9,0.95,1.0,1.0522953110345286,1.2694479676755297,1.4264485312781225,0.028600084117894466,0.0,0.43,0.56,1.09,1.11,1.33,4.430000000000001
4,1,2023-05-08 06:00:00,19-2023,0.92,0.95,0.95,0.95,0.9347407784837077,1.1595126074723274,1.1190668481897685,0.010268676412973998,0.0,0.62,0.92,2.16,1.25,1.45,6.37
5,1,2023-05-15 06:00:00,20-2023,0.92,0.9,0.95,0.95,0.9446173531349987,0.8661531697697529,1.1123981816923183,-0.04700464653169599,0.0,0.62,0.93,2.01,1.27,1.17,5.97
6,1,2023-05-22 06:00:00,21-2023,0.92,0.95,0.9,0.95,0.9550737375463362,1.1536610761785435,1.235941574174493,0.08028079608677793,0.0,0.52,0.71,1.83,1.16,1.4,5.59
7,1,2023-05-29 06:00:00,22-2023,0.93,0.9,0.9,0.9,1.030463597965677,1.2394763486343305,1.404204259639569,-0.014395109606599402,0.0,0.33,0.49,1.15,1.1,1.32,4.43
8,1,2023-06-05 06:00:00,23-2023,0.93,1.0,0.85,0.85,1.1293900354354303,1.3174208204172093,0.9626646976025106,-0.014957213739543134,0.0,0.65,0.98,2.53,1.24,0.95,6.42
9,1,2023-06-12 06:00:00,24-2023,0.93,1.0,0.85,0.85,1.0034239333445691,0.9271948283307956,1.0689018621501258,0.024825680547460226,0.0,0.56,0.84,2.44,1.41,1.3,6.63
10,1,2023-06-19 06:00:00,25-2023,0.92,1.0,0.9,0.85,0.9509912746166225,0.7922358430355656,0.8524817130858158,-0.10691857947163275,0.0,0.75,1.07,2.24,1.33,1.39,6.72
11,1,2023-06-26 06:00:00,26-2023,0.92,0.85,0.9,0.85,0.7935375603318027,0.7645985706076103,0.7169393359023467,0.0,0.0,0.63,0.9,2.21,1.34,1.4,6.43
12,1,2023-07-03 06:00:00,27-2023,0.92,0.8,0.95,0.8,0.0,,,,,,,,,,
13,1,2023-07-10 06:00:00,28-2023,0.92,,8.0,0.85,,,,,,,,,,,
14,1,2023-07-17 06:00:00,29-2023,0.84,,0.85,0.95,,,,,,,,,,,
15,1,2023-07-24 06:00:00,30-2023,0.81,,,8.0,,,,,,,,,,,
16,1,2023-07-31 06:00:00,31-2023,0.78,,,0.85,,,,,,,,,,,
17,1,2023-08-07 06:00:00,32-2023,0.76,,,,,,,,,,,,,,
18,1,2023-08-14 06:00:00,33-2023,0.73,,,,,,,,,,,,,,
19,1,2023-08-21 06:00:00,34-2023,0.7,,,,,,,,,,,,,,
20,1,2023-08-28 06:00:00,35-2023,0.67,,,,,,,,,,,,,,
21,2,2022-09-19 06:00:00,38-2022,0.18,,,,,,,,,,,,,,
22,2,2022-09-26 06:00:00,39-2022,0.47,,,,0.6697923643670463,0.9209645010046885,0.6477370586546742,0.0,0.0,,,,1.45,0.87,
